,OSHPD_ID,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings
1759,106211006,Acute Stroke,21.0,223.0,8.2,As Expected
1760,106211006,Acute Stroke Hemorrhagic,11.0,45.0,19.1,As Expected
1761,106211006,Acute Stroke Ischemic,9.0,171.0,4.7,As Expected
1762,106211006,Acute Stroke Subarachnoid,1.0,7.0,18.5,As Expected
1763,106211006,Carotid Endarterectomy,0.0,38.0,0.0,As Expected
1764,106211006,GI Hemorrhage,2.0,204.0,0.9,As Expected
1765,106211006,Heart Failure,6.0,218.0,2.1,As Expected
1766,106211006,Hip Fracture,4.0,128.0,2.3,As Expected
1767,106211006,PCI,1.0,161.0,0.7,As Expected
1768,106211006,Pancreatic Resection,,,,
1769,106211006,Pneumonia,6.0,184.0,2.4,As Expected
1770,106211006,Isolated CABG Operative Mortality,0.0,25.0,0.0,As Expected
1771,106240924,AMI,,,,
1772,106240924,Acute Stroke,0.0,3.0,0.0,As Expected
1773,106240924,Acute Stroke Hemorrhagic,,,,
1774,106240924,Acute Stroke Ischemic,,,,
1775,106240924,Acute Stroke Subarachnoid,,,,
1776,106240924,Carotid Endarterectomy,,,,
1777,106240924,GI Hemorrhage,0.0,10.0,0.0,As Expected
1778,106240924,Heart Failure,2.0,59.0,2.8,As Expected
1779,106240924,Hip Fracture,0.0,15.0,0.0,As Expected
1780,106240924,PCI,,,,
1781,106240924,Pancreatic Resection,,,,
1782,106240924,Pneumonia,0.0,59.0,0.0,As Expected
1783,106240942,AMI,4.0,59.0,4.6,As Expected
1784,106240942,Acute Stroke,1.0,169.0,1.8,Better
1785,106240942,Acute Stroke Hemorrhagic,1.0,5.0,24.8,As Expected
1786,106240942,Acute Stroke Ischemic,0.0,162.0,0.0,Better
1787,106240942,Acute Stroke Subarachnoid,,,,
1788,106240942,Carotid Endarterectomy,,,,
1789,106240942,GI Hemorrhage,6.0,313.0,2.4,As Expected
1790,106240942,Heart Failure,6.0,729.0,0.8,Better
1791,106240942,Hip Fracture,1.0,80.0,1.5,As Expected
1792,106240942,PCI,0.0,6.0,0.0,As Expected
1793,106240942,Pancreatic Resection,,,,
1794,106240942,Pneumonia,4.0,345.0,1.6,As Expected
1795,106270744,AMI,11.0,178.0,7.4,As Expected
1796,106270744,Acute Stroke Hemorrhagic,9.0,42.0,22.0,As Expected
1797,106270744,Acute Stroke Ischemic,10.0,230.0,5.7,As Expected
1798,106270744,Acute Stroke Subarachnoid,3.0,3.0,28.5,As Expected
1799,106270744,Carotid Endarterectomy,1.0,31.0,4.1,As Expected
1800,106270744,GI Hemorrhage,8.0,275.0,3.4,As Expected
1801,106270744,Heart Failure,15.0,359.0,3.6,As Expected
1802,106270744,Hip Fracture,3.0,130.0,3.0,As Expected
1803,106270744,PCI,5.0,107.0,8.1,As Expected
1804,106270744,Pancreatic Resection,1.0,9.0,25.5,As Expected
1805,106270744,Pneumonia,15.0,266.0,5.4,Worse
1806,106270744,Isolated CABG Operative Mortality,2.0,79.0,2.34,As Expected
1807,106270744,Acute Stroke,22.0,275.0,10.0,As Expected
1808,106274043,AMI,2.0,12.0,15.9,As Expected
1809,106274043,Acute Stroke,2.0,52.0,7.2,As Expected
1810,106274043,Acute Stroke Hemorrhagic,2.0,10.0,22.9,As Expected
1811,106274043,Acute Stroke Ischemic,0.0,42.0,0.0,As Expected
1812,106274043,Carotid Endarterectomy,,,,
1813,106274043,GI Hemorrhage,1.0,87.0,1.9,As Expected
1814,106274043,Heart Failure,5.0,117.0,7.3,As Expected
1815,106274043,Hip Fracture,1.0,42.0,6.6,As Expected
1816,106274043,PCI,,,,
1817,106274043,Pancreatic Resection,,,,
1818,106274043,Pneumonia,2.0,104.0,3.8,As Expected
1819,106274043,Acute Stroke Subarachnoid,,,,
1820,106301188,AMI,5.0,137.0,4.9,As Expected
1821,106301188,Acute Stroke,1.0,11.0,10.0,As Expected
1822,106301188,Acute Stroke Hemorrhagic,,,,
1823,106301188,Acute Stroke Ischemic,0.0,10.0,0.0,As Expected
1824,106301188,Acute Stroke Subarachnoid,,,,
1825,106301188,Carotid Endarterectomy,,,,
1826,106301188,GI Hemorrhage,1.0,40.0,2.7,As Expected
1827,106301188,Heart Failure,2.0,43.0,4.5,As Expected
1828,106301188,Hip Fracture,1.0,13.0,15.4,As Expected
1829,106301188,PCI,0.0,65.0,0.0,As Expected
1830,106301188,Pancreatic Resection,,,,
1831,106301188,Pneumonia,1.0,34.0,4.1,As Expected
1832,106301188,Isolated CABG Operative Mortality,0.0,43.0,0.0,As Expected
1833,106301234,AMI,5.0,44.0,6.9,As Expected
1834,106301234,Acute Stroke,0.0,39.0,0.0,As Expected
1835,106301234,Acute Stroke Hemorrhagic,,,,
1836,106301234,Acute Stroke Ischemic,0.0,39.0,0.0,As Expected
1837,106301234,Acute Stroke Subarachnoid,,,,
1838,106301234,Carotid Endarterectomy,,,,
1839,106301234,GI Hemorrhage,2.0,91.0,1.2,As Expected
1840,106301234,Heart Failure,3.0,161.0,1.6,As Expected
1841,106301234,Hip Fracture,2.0,42.0,3.2,As Expected
1842,106301234,PCI,,,,
1843,106301234,Pancreatic Resection,,,,
1844,106301234,Pneumonia,0.0,70.0,0.0,As Expected
1845,106311000,Elective PCI Mortality,0.0,70.0,0.0,As Expected
1846,106311000,Elective PCI Stroke,0.0,70.0,0.0,As Expected
1847,106311000,Elective PCI Emergency CABG,0.0,70.0,0.0,As Expected
1848,106311000,AMI,22.0,521.0,3.9,Better
1849,106311000,Acute Stroke,32.0,404.0,7.4,As Expected
1850,106311000,Acute Stroke Hemorrhagic,13.0,80.0,17.2,As Expected
1851,106311000,Acute Stroke Ischemic,15.0,310.0,4.2,As Expected
1852,106311000,Acute Stroke Subarachnoid,4.0,14.0,18.8,As Expected
1853,106311000,Carotid Endarterectomy,0.0,51.0,0.0,As Expected
1854,106311000,GI Hemorrhage,11.0,451.0,2.0,As Expected
1855,106311000,Heart Failure,31.0,561.0,3.3,As Expected
1856,106311000,Hip Fracture,5.0,254.0,1.9,As Expected
1857,106311000,PCI,7.0,285.0,2.7,As Expected
1858,106311000,Pancreatic Resection,,,,
1859,106311000,Pneumonia,7.0,267.0,1.9,As Expected
1860,106331168,AMI,21.0,561.0,4.6,As Expected
1861,106331168,Acute Stroke,33.0,627.0,7.0,As Expected
1862,106331168,Acute Stroke Hemorrhagic,16.0,105.0,16.2,As Expected
1863,106331168,Acute Stroke Ischemic,12.0,501.0,3.3,As Expected
1864,106331168,Acute Stroke Subarachnoid,5.0,21.0,32.1,As Expected
1865,106331168,Carotid Endarterectomy,0.0,110.0,0.0,As Expected
1866,106331168,GI Hemorrhage,11.0,458.0,2.8,As Expected
1867,106331168,Heart Failure,20.0,888.0,2.0,As Expected
1868,106331168,Hip Fracture,1.0,322.0,0.4,As Expected
1869,106331168,PCI,7.0,416.0,2.3,As Expected
1870,106331168,Pancreatic Resection,,,,
1871,106331168,Pneumonia,10.0,402.0,2.8,As Expected
1872,106331168,Isolated CABG Operative Mortality,1.0,135.0,0.87,As Expected
1873,106331194,AMI,12.0,90.0,9.1,As Expected
1874,106331194,Acute Stroke,9.0,115.0,9.2,As Expected
1875,106331194,Acute Stroke Hemorrhagic,4.0,6.0,29.3,As Expected
1876,106331194,Acute Stroke Ischemic,4.0,108.0,3.8,As Expected
1877,106331194,Acute Stroke Subarachnoid,,,,
1878,106331194,Carotid Endarterectomy,1.0,6.0,3.1,As Expected
1879,106331194,GI Hemorrhage,7.0,276.0,2.1,As Expected
1880,106331194,Heart Failure,15.0,501.0,2.3,As Expected
1881,106331194,Hip Fracture,6.0,130.0,5.3,Worse
1882,106331194,PCI,,,,
1883,106331194,Pancreatic Resection,,,,
1884,106331194,Pneumonia,10.0,205.0,2.5,As Expected
1885,106334487,AMI,4.0,48.0,6.9,As Expected
1886,106334487,Acute Stroke,26.0,274.0,7.5,As Expected
1887,106334487,Acute Stroke Hemorrhagic,14.0,67.0,17.0,As Expected
1888,106334487,Acute Stroke Ischemic,10.0,204.0,4.2,As Expected
1889,106334487,Acute Stroke Subarachnoid,2.0,3.0,26.0,As Expected
1890,106334487,Carotid Endarterectomy,0.0,4.0,0.0,As Expected
1891,106334487,GI Hemorrhage,6.0,196.0,2.7,As Expected
1892,106334487,Heart Failure,4.0,490.0,0.9,Better
1893,106334487,Hip Fracture,1.0,64.0,1.9,As Expected
1894,106334487,PCI,,,,
1895,106334487,Pancreatic Resection,,,,
1896,106334487,Pneumonia,0.0,122.0,0.0,As Expected
1897,106334564,AMI,22.0,647.0,4.0,As Expected
1898,106334564,Acute Stroke,14.0,176.0,8.8,As Expected
1899,106334564,Acute Stroke Hemorrhagic,7.0,36.0,22.9,As Expected
1900,106334564,Acute Stroke Ischemic,5.0,133.0,4.6,As Expected
1901,106334564,Acute Stroke Subarachnoid,2.0,7.0,18.7,As Expected
1902,106334564,Carotid Endarterectomy,0.0,14.0,0.0,As Expected
1903,106334564,GI Hemorrhage,7.0,270.0,2.7,As Expected
1904,106334564,Heart Failure,10.0,468.0,1.8,As Expected
1905,106334564,Hip Fracture,1.0,101.0,1.2,As Expected
1906,106334564,PCI,14.0,493.0,2.8,As Expected
1907,106334564,Pancreatic Resection,,,,
1908,106334564,Pneumonia,1.0,168.0,0.7,As Expected
1909,106334564,Isolated CABG Operative Mortality,2.0,111.0,2.24,As Expected
1910,106334589,AMI,32.0,363.0,8.9,Worse
1911,106334589,Acute Stroke,20.0,229.0,11.0,As Expected
1912,106334589,Acute Stroke Hemorrhagic,11.0,38.0,25.5,As Expected
1913,106334589,Acute Stroke Ischemic,7.0,185.0,6.8,As Expected
1914,106334589,Acute Stroke Subarachnoid,2.0,6.0,20.9,As Expected
1915,106334589,Carotid Endarterectomy,0.0,45.0,0.0,As Expected
1916,106334589,GI Hemorrhage,1.0,148.0,1.3,As Expected
1917,106334589,Heart Failure,5.0,329.0,1.5,As Expected
1918,106334589,Hip Fracture,0.0,62.0,0.0,As Expected
1919,106334589,PCI,24.0,469.0,5.7,Worse
1920,106334589,Pancreatic Resection,,,,
1921,106334589,Pneumonia,1.0,180.0,0.7,As Expected
1922,106334589,Isolated CABG Operative Mortality,1.0,77.0,1.96,As Expected
1923,106361246,AMI,41.0,589.0,7.5,As Expected
1924,106361246,Acute Stroke,92.0,688.0,8.1,As Expected
1925,106361246,Acute Stroke Hemorrhagic,38.0,214.0,16.8,As Expected
1926,106361246,Acute Stroke Ischemic,44.0,420.0,5.5,As Expected
1927,106361246,Acute Stroke Subarachnoid,10.0,54.0,15.1,As Expected
1928,106361246,Carotid Endarterectomy,0.0,44.0,0.0,As Expected
1929,106361246,GI Hemorrhage,17.0,326.0,3.2,As Expected
1930,106361246,Heart Failure,22.0,746.0,2.7,As Expected
1931,106361246,Hip Fracture,2.0,110.0,1.9,As Expected
1932,106361246,PCI,20.0,456.0,4.3,As Expected
1933,106361246,Pancreatic Resection,2.0,46.0,4.7,As Expected
1934,106361246,Pneumonia,6.0,180.0,2.5,As Expected
1935,106361246,Isolated CABG Operative Mortality,4.0,198.0,1.85,As Expected
1936,106361318,AMI,20.0,624.0,3.1,Better
1937,106361318,Acute Stroke,39.0,462.0,9.5,As Expected
1938,106361318,Acute Stroke Hemorrhagic,17.0,82.0,23.8,As Expected
1939,106361318,Acute Stroke Ischemic,20.0,372.0,5.0,As Expected
1940,106361318,Acute Stroke Subarachnoid,2.0,8.0,25.0,As Expected
1941,106361318,Carotid Endarterectomy,2.0,43.0,1.6,As Expected
1942,106361318,GI Hemorrhage,10.0,314.0,2.7,As Expected
1943,106361318,Heart Failure,18.0,645.0,2.4,As Expected
1944,106361318,Hip Fracture,4.0,164.0,1.6,As Expected
1945,106361318,PCI,16.0,426.0,3.0,As Expected
1946,106361318,Pancreatic Resection,,,,
1947,106361318,Pneumonia,10.0,400.0,2.2,As Expected
1948,106361318,Isolated CABG Operative Mortality,2.0,129.0,1.52,As Expected
1949,106361339,AMI,29.0,548.0,5.9,As Expected
1950,106361339,Acute Stroke,35.0,438.0,8.0,As Expected
1951,106361339,Acute Stroke Hemorrhagic,27.0,112.0,21.0,As Expected
1952,106361339,Acute Stroke Ischemic,5.0,308.0,2.7,As Expected
1953,106361339,Acute Stroke Subarachnoid,3.0,18.0,22.5,As Expected
1954,106361339,Carotid Endarterectomy,0.0,16.0,0.0,As Expected
1955,106361339,GI Hemorrhage,9.0,230.0,4.2,As Expected
1956,106361339,Heart Failure,9.0,575.0,1.8,As Expected
1957,106361339,Hip Fracture,2.0,86.0,2.7,As Expected
1958,106361339,PCI,12.0,425.0,4.2,As Expected
1959,106361339,Pancreatic Resection,,,,
1960,106361339,Pneumonia,5.0,248.0,1.6,As Expected
1961,106361339,Isolated CABG Operative Mortality,6.0,263.0,2.3,As Expected
1962,106362041,AMI,0.0,3.0,0.0,As Expected
1963,106362041,Acute Stroke,2.0,13.0,66.3,Worse
1964,106362041,Acute Stroke Hemorrhagic,,,,
1965,106362041,Acute Stroke Ischemic,1.0,12.0,33.2,As Expected
1966,106362041,Acute Stroke Subarachnoid,,,,
1967,106362041,Carotid Endarterectomy,,,,
1968,106362041,GI Hemorrhage,,,,
1969,106362041,Heart Failure,1.0,112.0,1.6,As Expected
1970,106362041,Hip Fracture,1.0,33.0,5.7,As Expected
1971,106362041,PCI,,,,
1972,106362041,Pancreatic Resection,,,,
1973,106362041,Pneumonia,0.0,56.0,0.0,As Expected
1974,106364231,AMI,0.0,93.0,0.0,As Expected
1975,106364231,Acute Stroke,42.0,319.0,15.7,Worse
1976,106364231,Acute Stroke Hemorrhagic,29.0,105.0,38.3,Worse
1977,106364231,Acute Stroke Ischemic,10.0,202.0,8.6,As Expected
1978,106364231,Acute Stroke Subarachnoid,3.0,12.0,31.3,As Expected
1979,106364231,Carotid Endarterectomy,0.0,4.0,0.0,As Expected
1980,106364231,GI Hemorrhage,11.0,250.0,4.5,As Expected
1981,106364231,Heart Failure,6.0,386.0,3.2,As Expected
1982,106364231,Hip Fracture,1.0,58.0,2.7,As Expected
1983,106364231,PCI,0.0,115.0,0.0,As Expected
1984,106364231,Pancreatic Resection,0.0,3.0,0.0,As Expected
1985,106364231,Pneumonia,4.0,242.0,2.8,As Expected
1986,106370714,AMI,24.0,384.0,5.7,As Expected
1987,106370714,Acute Stroke,57.0,638.0,8.1,As Expected
1988,106370714,Acute Stroke Hemorrhagic,23.0,82.0,23.4,As Expected
1989,106370714,Acute Stroke Ischemic,28.0,537.0,3.6,As Expected
1990,106370714,Acute Stroke Subarachnoid,6.0,19.0,34.2,As Expected
1991,106370714,Carotid Endarterectomy,0.0,59.0,0.0,As Expected
1992,106370714,GI Hemorrhage,14.0,530.0,2.0,As Expected
1993,106370714,Heart Failure,11.0,897.0,1.5,Better
1994,106370714,Hip Fracture,8.0,197.0,4.7,Worse
1995,106370714,PCI,22.0,447.0,4.1,As Expected
1996,106370714,Pancreatic Resection,0.0,16.0,0.0,As Expected
1997,106370714,Pneumonia,8.0,425.0,1.6,As Expected
1998,106370714,Isolated CABG Operative Mortality,3.0,77.0,2.41,As Expected
1999,106370782,AMI,26.0,408.0,6.1,As Expected
2000,106370782,Acute Stroke,35.0,474.0,5.0,Better
2001,106370782,Acute Stroke Hemorrhagic,18.0,108.0,15.6,As Expected
2002,106370782,Acute Stroke Ischemic,11.0,319.0,2.0,Better
2003,106370782,Acute Stroke Subarachnoid,6.0,47.0,11.5,Better
2004,106370782,Carotid Endarterectomy,0.0,16.0,0.0,As Expected
2005,106370782,GI Hemorrhage,10.0,474.0,1.8,As Expected
2006,106370782,Heart Failure,35.0,900.0,4.2,Worse
2007,106370782,Hip Fracture,1.0,141.0,0.5,As Expected
2008,106370782,PCI,13.0,360.0,3.4,As Expected
2009,106370782,Pancreatic Resection,0.0,82.0,0.0,As Expected
2010,106370782,Pneumonia,6.0,286.0,2.4,As Expected
2011,106380857,AMI,15.0,520.0,4.2,As Expected
2012,106380857,Acute Stroke,12.0,215.0,7.7,As Expected
2013,106380857,Acute Stroke Hemorrhagic,3.0,44.0,9.2,As Expected
2014,106380857,Acute Stroke Ischemic,9.0,169.0,6.4,As Expected
2015,106380857,Acute Stroke Subarachnoid,,,,
2016,106380857,Carotid Endarterectomy,0.0,44.0,0.0,As Expected
2017,106380857,GI Hemorrhage,4.0,167.0,1.9,As Expected
2018,106380857,Heart Failure,9.0,404.0,1.7,As Expected
2019,106380857,Hip Fracture,1.0,73.0,3.6,As Expected
2020,106380857,PCI,15.0,355.0,3.9,As Expected
2021,106380857,Pancreatic Resection,0.0,58.0,0.0,As Expected
2022,106380857,Pneumonia,3.0,101.0,2.0,As Expected
2023,106380857,Isolated CABG Operative Mortality,7.0,384.0,3.05,As Expected
2024,106380939,AMI,13.0,161.0,9.6,As Expected
2025,106380939,Acute Stroke,33.0,283.0,9.3,As Expected
2026,106380939,Acute Stroke Hemorrhagic,13.0,59.0,18.3,As Expected
2027,106380939,Acute Stroke Ischemic,17.0,209.0,6.7,As Expected
2028,106380939,Acute Stroke Subarachnoid,3.0,15.0,16.2,As Expected
2029,106380939,Carotid Endarterectomy,0.0,8.0,0.0,As Expected
2030,106380939,GI Hemorrhage,7.0,227.0,3.4,As Expected
2031,106380939,Heart Failure,8.0,636.0,2.2,As Expected
2032,106380939,Hip Fracture,2.0,82.0,1.8,As Expected
2033,106380939,PCI,7.0,69.0,8.6,Worse
2034,106380939,Pancreatic Resection,0.0,4.0,0.0,As Expected
2035,106380939,Pneumonia,1.0,205.0,0.9,As Expected
2036,106381154,AMI,15.0,170.0,7.7,As Expected
2037,106381154,Acute Stroke,44.0,440.0,6.6,Better
2038,106381154,Acute Stroke Hemorrhagic,11.0,130.0,9.2,Better
2039,106381154,Acute Stroke Ischemic,16.0,223.0,5.2,As Expected
2040,106381154,Acute Stroke Subarachnoid,17.0,87.0,19.7,As Expected
2041,106381154,Carotid Endarterectomy,1.0,55.0,0.9,As Expected
2042,106381154,GI Hemorrhage,8.0,329.0,1.6,As Expected
2043,106381154,Heart Failure,21.0,610.0,2.9,As Expected
2044,106381154,Hip Fracture,2.0,71.0,2.9,As Expected
2045,106381154,PCI,5.0,151.0,3.5,As Expected
2046,106381154,Pancreatic Resection,0.0,132.0,0.0,As Expected
2047,106381154,Pneumonia,6.0,253.0,2.3,As Expected
2048,106381154,Isolated CABG Operative Mortality,1.0,90.0,1.79,As Expected
2049,106382715,AMI,1.0,13.0,3.6,As Expected
2050,106382715,Acute Stroke,0.0,37.0,0.0,As Expected
2051,106382715,Acute Stroke Hemorrhagic,0.0,3.0,0.0,As Expected
2052,106382715,Acute Stroke Ischemic,0.0,34.0,0.0,As Expected
2053,106382715,Acute Stroke Subarachnoid,,,,
2054,106382715,Carotid Endarterectomy,,,,
2055,106382715,GI Hemorrhage,1.0,45.0,1.9,As Expected
2056,106382715,Heart Failure,1.0,104.0,0.8,As Expected
2057,106382715,Hip Fracture,1.0,23.0,4.9,As Expected
2058,106382715,PCI,,,,
2059,106382715,Pancreatic Resection,,,,
2060,106382715,Pneumonia,1.0,55.0,1.2,As Expected
2061,106390923,AMI,3.0,51.0,5.4,As Expected
2062,106390923,Acute Stroke,5.0,145.0,7.9,As Expected
2063,106390923,Acute Stroke Hemorrhagic,3.0,9.0,29.7,As Expected
2064,106390923,Acute Stroke Ischemic,2.0,136.0,2.8,As Expected
2065,106390923,Acute Stroke Subarachnoid,,,,
2066,106390923,Carotid Endarterectomy,0.0,9.0,0.0,As Expected
2067,106390923,GI Hemorrhage,4.0,161.0,4.0,As Expected
2068,106390923,Heart Failure,15.0,515.0,3.2,As Expected
2069,106390923,Hip Fracture,1.0,102.0,1.2,As Expected
2070,106390923,PCI,,,,
2071,106390923,Pancreatic Resection,,,,
2072,106390923,Pneumonia,9.0,205.0,4.4,As Expected
2073,106391010,AMI,4.0,27.0,9.5,As Expected
2074,106391010,Acute Stroke,8.0,105.0,8.5,As Expected
2075,106391010,Acute Stroke Hemorrhagic,5.0,25.0,19.9,As Expected
2076,106391010,Acute Stroke Ischemic,2.0,79.0,3.2,As Expected
2077,106391010,Acute Stroke Subarachnoid,,,,
2078,106391010,Carotid Endarterectomy,0.0,3.0,0.0,As Expected
2079,106391010,GI Hemorrhage,1.0,129.0,0.9,As Expected
2080,106391010,Heart Failure,8.0,341.0,1.8,As Expected
2081,106391010,Hip Fracture,1.0,50.0,3.2,As Expected
2082,106391010,PCI,,,,
2083,106391010,Pancreatic Resection,1.0,4.0,4.4,As Expected
2084,106391010,Pneumonia,1.0,64.0,1.0,As Expected
2085,106410782,AMI,1.0,11.0,8.2,As Expected
2086,106410782,Acute Stroke,0.0,44.0,0.0,As Expected
2087,106410782,Acute Stroke Hemorrhagic,0.0,6.0,0.0,As Expected
2088,106410782,Acute Stroke Ischemic,0.0,38.0,0.0,As Expected
2089,106410782,Acute Stroke Subarachnoid,,,,
2090,106410782,Carotid Endarterectomy,,,,
2091,106410782,GI Hemorrhage,0.0,69.0,0.0,As Expected
2092,106410782,Heart Failure,1.0,118.0,1.2,As Expected
2093,106410782,Hip Fracture,1.0,16.0,4.2,As Expected
2094,106410782,PCI,,,,
2095,106410782,Pancreatic Resection,,,,
2096,106410782,Pneumonia,1.0,84.0,1.6,As Expected
2097,106410852,AMI,8.0,270.0,2.8,Better
2098,106410852,Acute Stroke,10.0,255.0,3.4,Better
2099,106410852,Acute Stroke Hemorrhagic,4.0,42.0,9.6,Better
2100,106410852,Acute Stroke Ischemic,5.0,210.0,1.5,Better
2101,106410852,Acute Stroke Subarachnoid,1.0,3.0,24.7,As Expected
2102,106410852,Carotid Endarterectomy,0.0,34.0,0.0,As Expected
2103,106410852,GI Hemorrhage,6.0,261.0,2.1,As Expected
2104,106410852,Heart Failure,7.0,425.0,0.9,Better
2105,106410852,Hip Fracture,1.0,145.0,0.6,As Expected
2106,106410852,PCI,8.0,300.0,2.1,As Expected
2107,106410852,Pancreatic Resection,0.0,19.0,0.0,As Expected
2108,106410852,Pneumonia,1.0,131.0,0.5,As Expected
2109,106410852,Isolated CABG Operative Mortality,0.0,62.0,0.0,As Expected
2110,106410891,AMI,6.0,82.0,7.9,As Expected
2111,106410891,Acute Stroke,4.0,85.0,5.9,As Expected
2112,106410891,Acute Stroke Hemorrhagic,3.0,26.0,16.1,As Expected
2113,106410891,Acute Stroke Ischemic,1.0,59.0,2.4,As Expected
2114,106410891,Acute Stroke Subarachnoid,,,,
2115,106410891,Carotid Endarterectomy,0.0,48.0,0.0,As Expected
2116,106410891,GI Hemorrhage,0.0,63.0,0.0,As Expected
2117,106410891,Heart Failure,3.0,218.0,0.9,Better
2118,106410891,Hip Fracture,3.0,74.0,2.3,As Expected
2119,106410891,PCI,3.0,78.0,4.4,As Expected
2120,106410891,Pancreatic Resection,,,,
2121,106410891,Pneumonia,3.0,72.0,3.7,As Expected
2122,106410891,Isolated CABG Operative Mortality,1.0,38.0,2.54,As Expected
2123,106430779,Isolated CABG Operative Mortality,2.0,74.0,1.63,As Expected
2124,106430779,AMI,10.0,281.0,3.9,As Expected
2125,106430779,Acute Stroke,49.0,407.0,12.4,Worse
2126,106430779,Acute Stroke Hemorrhagic,22.0,70.0,29.3,As Expected
2127,106430779,Acute Stroke Ischemic,21.0,319.0,7.3,As Expected
2128,106430779,Acute Stroke Subarachnoid,6.0,18.0,24.2,As Expected
2129,106430779,Carotid Endarterectomy,0.0,26.0,0.0,As Expected
2130,106430779,GI Hemorrhage,11.0,294.0,3.3,As Expected
2131,106430779,Heart Failure,25.0,526.0,3.1,As Expected
2132,106430779,Hip Fracture,1.0,166.0,0.6,As Expected
2133,106430779,PCI,5.0,221.0,2.7,As Expected
2134,106430779,Pancreatic Resection,0.0,7.0,0.0,As Expected
2135,106430779,Pneumonia,6.0,183.0,2.1,As Expected
2136,106481357,AMI,13.0,233.0,4.9,As Expected
2137,106481357,Acute Stroke,26.0,187.0,10.8,As Expected
2138,106481357,Acute Stroke Hemorrhagic,12.0,36.0,24.6,As Expected
2139,106481357,Acute Stroke Ischemic,10.0,146.0,5.8,As Expected
2140,106481357,Acute Stroke Subarachnoid,4.0,5.0,31.9,As Expected
2141,106481357,Carotid Endarterectomy,0.0,7.0,0.0,As Expected
2142,106481357,GI Hemorrhage,5.0,190.0,2.2,As Expected
2143,106481357,Heart Failure,10.0,371.0,2.2,As Expected
2144,106481357,Hip Fracture,2.0,92.0,2.4,As Expected
2145,106481357,PCI,4.0,182.0,2.0,As Expected
2146,106481357,Pancreatic Resection,,,,
2147,106481357,Pneumonia,5.0,157.0,2.5,As Expected
2148,106481357,Isolated CABG Operative Mortality,0.0,42.0,0.0,As Expected
2149,106540798,AMI,5.0,83.0,5.5,As Expected
2150,106540798,Acute Stroke,8.0,99.0,11.7,As Expected
2151,106540798,Acute Stroke Hemorrhagic,4.0,8.0,30.5,As Expected
2152,106540798,Acute Stroke Ischemic,4.0,91.0,5.9,As Expected
2153,106540798,Acute Stroke Subarachnoid,,,,
2154,106540798,Carotid Endarterectomy,,,,
2155,106540798,GI Hemorrhage,2.0,93.0,2.4,As Expected
2156,106540798,Heart Failure,5.0,226.0,2.4,As Expected
2157,106540798,Hip Fracture,1.0,77.0,1.9,As Expected
2158,106540798,PCI,,,,
2159,106540798,Pancreatic Resection,,,,
2160,106540798,Pneumonia,7.0,227.0,3.5,As Expected
2161,106540816,AMI,2.0,10.0,11.6,As Expected
2162,106540816,Acute Stroke,2.0,19.0,13.3,As Expected
2163,106540816,Acute Stroke Hemorrhagic,1.0,3.0,23.8,As Expected
2164,106540816,Acute Stroke Ischemic,1.0,16.0,10.9,As Expected
2165,106540816,Acute Stroke Subarachnoid,,,,
2166,106540816,Carotid Endarterectomy,,,,
2167,106540816,GI Hemorrhage,2.0,58.0,4.6,As Expected
2168,106540816,Heart Failure,7.0,73.0,9.2,Worse
2169,106540816,Hip Fracture,2.0,17.0,38.3,Worse
2170,106540816,PCI,,,,
2171,106540816,Pancreatic Resection,,,,
2172,106540816,Pneumonia,5.0,124.0,3.3,As Expected
2173,106560481,AMI,7.0,59.0,11.8,As Expected
2174,106560481,Acute Stroke,4.0,101.0,7.6,As Expected
2175,106560481,Acute Stroke Hemorrhagic,2.0,14.0,17.0,As Expected
2176,106560481,Acute Stroke Ischemic,1.0,86.0,3.2,As Expected
2177,106560481,Acute Stroke Subarachnoid,,,,
2178,106560481,Carotid Endarterectomy,,,,
2179,106560481,GI Hemorrhage,2.0,129.0,2.4,As Expected
2180,106560481,Heart Failure,3.0,177.0,2.6,As Expected
2181,106560481,Hip Fracture,1.0,53.0,2.3,As Expected
2182,106560481,PCI,,,,
2183,106560481,Pancreatic Resection,1.0,9.0,56.0,As Expected
2184,106560481,Pneumonia,2.0,143.0,2.1,As Expected
2185,106560492,AMI,10.0,277.0,4.5,As Expected
2186,106560492,Acute Stroke,57.0,425.0,11.2,Worse
2187,106560492,Acute Stroke Hemorrhagic,27.0,92.0,29.3,Worse
2188,106560492,Acute Stroke Ischemic,23.0,303.0,5.7,As Expected
2189,106560492,Acute Stroke Subarachnoid,7.0,30.0,25.2,As Expected
2190,106560492,Carotid Endarterectomy,0.0,16.0,0.0,As Expected
2191,106560492,GI Hemorrhage,5.0,217.0,2.7,As Expected
2192,106560492,Heart Failure,22.0,421.0,3.4,As Expected
2193,106560492,Hip Fracture,7.0,178.0,4.2,As Expected
2194,106560492,PCI,4.0,246.0,1.9,As Expected
2195,106560492,Pancreatic Resection,1.0,9.0,11.1,As Expected
2196,106560492,Pneumonia,4.0,140.0,2.4,As Expected
2197,106560492,Isolated CABG Operative Mortality,3.0,74.0,2.41,As Expected
2198,106560501,AMI,,,,
2199,106560501,Acute Stroke,0.0,3.0,0.0,As Expected
2200,106560501,Acute Stroke Hemorrhagic,,,,
